norm_power: [-0.5, -0.4, -0.3, -0.2, -0.1]
norm_power_len: [-20, -20, -20, -20, -20]
5->4->3->2->1





19988, 1.00663638, 0.55164838, 1.00663638               1.00301170, 1.00273097, 1.00264180
19989, 1.00746548, 0.52967036, 1.00746548               1.00301170, 1.00273097, 1.00264180
19990, 1.00541925, 0.54505497, 1.00541925               1.00301170, 1.00273097, 1.00264180
19991, 1.00712860, 0.52967036, 1.00712860               1.00301170, 1.00273097, 1.00264180
19992, 1.00778198, 0.55384618, 1.00778198               1.00301170, 1.00273097, 1.00264180
19993, 1.00763583, 0.54505497, 1.00763583               1.00301170, 1.00273097, 1.00264180
19994, 1.00870192, 0.54285717, 1.00870192               1.00301170, 1.00273097, 1.00264180
19995, 1.00477183, 0.53626376, 1.00477183               1.00301170, 1.00273097, 1.00264180
19996, 1.01187038, 0.54065937, 1.01187038               1.00301170, 1.00273097, 1.00264180
19997, 1.01781261, 0.52747256, 1.01781261               1.00301170, 1.00273097, 1.00264180
19998, 1.01495874, 0.52967036, 1.01495874               1.00301170, 1.00273097, 1.00264180
19999, 1.02007186, 0.54725277, 1.02007186               1.00301170, 1.00273097, 1.00264180
{'graph_norm_type': 'adjacency', 'pair_norm_type': 'laplacian', 'pair_dis_type': 'cosine', 'pair_trunc': 0, 'norm_power': [-0.5, -0.4, -0.3, -0.2], 'norm_power_len': [-20, -20, -20, -20], 'nclass': 5, 'nlayer': 2, 'num_heads': 1, 'hidden_dim': 64, 'epoch': 20000, 'lr': 0.01, 'weight_decay': 0.0005, 'tran_dropout': 0.2, 'feat_dropout': 0.8, 'prop_dropout': 0.2, 'norm': 'none', 'nonlinear': 'GELU', 'patience': 20000, 'residual': 'True', 'is_f_tf': 'False', 'dataset': 'chameleon', 'cuda': 0, 'seeds': [0], 'model': 'spectral_transformer', 'rank': 0}
tensor(103.9666, grad_fn=<MulBackward0>) tensor(106.3316, grad_fn=<MulBackward0>)







19976, 1.06855214, 0.52307695, 1.06855214               1.04720402, 1.04704762, 1.04683518
19977, 1.06752586, 0.52307695, 1.06752586               1.04720402, 1.04704762, 1.04683518
19978, 1.06855178, 0.51868135, 1.06855178               1.04720402, 1.04704762, 1.04683518
19979, 1.06772721, 0.51868135, 1.06772721               1.04720402, 1.04704762, 1.04683518
19980, 1.06803739, 0.52747256, 1.06803739               1.04720402, 1.04704762, 1.04683518
19981, 1.06907475, 0.52307695, 1.06907475               1.04720402, 1.04704762, 1.04683518
19982, 1.06747317, 0.52087915, 1.06747317               1.04720402, 1.04704762, 1.04683518
19983, 1.06760025, 0.52527475, 1.06760025               1.04720402, 1.04704762, 1.04683518
19984, 1.06765223, 0.52747256, 1.06765223               1.04720402, 1.04704762, 1.04683518
19985, 1.06807792, 0.52527475, 1.06807792               1.04720402, 1.04704762, 1.04683518
19986, 1.06746554, 0.53186816, 1.06746554               1.04720402, 1.04704762, 1.04683518
19987, 1.06759739, 0.52527475, 1.06759739               1.04720402, 1.04704762, 1.04683518
19988, 1.06787860, 0.52307695, 1.06787860               1.04720402, 1.04704762, 1.04683518
19989, 1.06770909, 0.52747256, 1.06770909               1.04720402, 1.04704762, 1.04683518
19990, 1.06736445, 0.52967036, 1.06736445               1.04720402, 1.04704762, 1.04683518
19991, 1.06757712, 0.52747256, 1.06757712               1.04720402, 1.04704762, 1.04683518
19992, 1.06761706, 0.53186816, 1.06761706               1.04720402, 1.04704762, 1.04683518
19993, 1.06764781, 0.52087915, 1.06764781               1.04720402, 1.04704762, 1.04683518
19994, 1.06732118, 0.52087915, 1.06732118               1.04720402, 1.04704762, 1.04683518
19995, 1.06773436, 0.52527475, 1.06773436               1.04720402, 1.04704762, 1.04683518
19996, 1.06736994, 0.52747256, 1.06736994               1.04720402, 1.04704762, 1.04683518
19997, 1.06722879, 0.52747256, 1.06722879               1.04720402, 1.04704762, 1.04683518
19998, 1.06740510, 0.53186816, 1.06740510               1.04720402, 1.04704762, 1.04683518
19999, 1.06722629, 0.52967036, 1.06722629               1.04720402, 1.04704762, 1.04683518
